sales_id,week_ending_date,store_id,product_category,gross_sales,discount_amount,net_sales,sales_target,returns_amount,transactions_count,footfall,inventory_on_hand,stockout_events
SLS1021,24-May-2026,STR004,Home & Living,28000,1960,26040,25000,1260,280,2000,620,0
SLS1022,24-May-2026,STR004,Footwear,22000,1100,20900,20000,1870,310,2200,190,4
SLS1023,24-May-2026,STR004,Beauty & Personal Care,16500,495,16005,15000,495,390,2500,880,0
SLS1024,24-May-2026,STR004,Groceries & Gourmet,13500,270,13230,12000,202,540,3600,1400,0
SLS1025,2026-05-31,STR005,Apparel & Fashion,11500,1150,10350,14000,1035,160,1100,140,5
SLS1026,2026-05-31,STR005,Electronics & Tech,18000,1260,16740,20000,1944,95,750,30,8
SLS1027,2026-05-31,STR005,Home & Living,8200,410,7790,9000,369,90,650,220,2
SLS1028,2026-05-31,STR005,Footwear,7100,355,6745,8000,568,105,700,85,6
SLS1029,2026-05-31,STR005,Beauty & Personal Care,6200,186,6014,6000,186,150,900,380,0
SLS1030,2026-05-31,STR005,Groceries & Gourmet,5300,106,5194,5000,80,210,1300,510,0
SLS1031,2026-06-07,STR006,Apparel & Fashion,16500,2475,14025,18000,1320,210,1500,230,2
SLS1032,2026-06-07,STR006,Electronics & Tech,24000,1680,22320,25000,2160,120,980,75,6
SLS1033,2026-06-07,STR006,Home & Living,11000,550,10450,12000,495,125,850,340,1
SLS1034,2026-06-07,STR006,Footwear,9800,490,9310,10000,833,140,920,110,4
SLS1035,2026-06-07,STR006,Beauty & Personal Care,8100,243,7857,8000,243,190,1200,460,0
SLS1036,2026-06-07,STR006,Groceries & Gourmet,7000,140,6860,6500,105,270,1700,620,0
SLS1037,2026-06-14,STR007,Apparel & Fashion,34000,4080,29920,30000,2380,450,2900,480,1
SLS1038,2026-06-14,STR007,Electronics & Tech,51000,3570,,48000,4590,255,2300,110,5
SLS1039,2026-06-14,STR007,Home & Living,24000,1200,22800,22000,960,240,1800,710,0
SLS1040,2026-06-14,STR007,Footwear,19500,975,18525,18000,1657,270,2000,240,2
SLS1041,2026-06-14,STR007,Beauty & Personal Care,15500,465,15035,14000,465,360,2300,930,0
SLS1042,2026-06-14,STR007,Groceries & Gourmet,12500,250,12250,11000,188,490,3200,1350,0
SLS1043,06/21/2026,STR008,Apparel & Fashion,38000,4560,33440,35000,2660,500,3200,550,0
SLS1044,06/21/2026,STR008,Electronics & Tech,58000,4060,53940,52000,5220,290,2600,140,4
SLS1045,06/21/2026,STR008,Home & Living,26000,1300,24700,24000,1040,260,1900,780,0
SLS1046,06/21/2026,STR008,Footwear,21000,1050,19950,19000,1785,290,2100,260,1
SLS1047,06/21/2026,STR008,Beauty & Personal Care,17000,510,16490,15000,510,400,2600,980,0
SLS1048,06/21/2026,STR008,Groceries & Gourmet,14000,280,13720,12500,210,550,3500,1450,0
SLS1049,2026-06-28,STR009,Apparel & Fashion,27000,2700,24300,25000,1890,360,2300,410,2
SLS1050,2026-06-28,STR009,Electronics & Tech,41000,2870,38130,40000,3690,205,1900,95,6
SLS1051,2026-06-28,STR009,Home & Living,19000,950,18050,18000,760,190,1450,600,0
SLS1052,2026-06-28,STR009,Footwear,15000,750,14250,14000,1275,210,1600,180,3
SLS1053,2026-06-28,STR009,Beauty & Personal Care,12000,360,11640,11000,360,280,1800,720,0
SLS1054,2026-06-28,STR009,Groceries & Gourmet,10000,200,9800,9000,150,390,2500,1050,0
SLS1055,2026-07-05,STR010,Apparel & Fashion,30000,3600,26400,28000,2100,400,2700,460,1
SLS1056,2026-07-05,STR010,Electronics & Tech,45000,3150,41850,44000,4050,225,2100,105,5
SLS1057,2026-07-05,STR010,Home & Living,22000,1100,20900,21000,880,220,1650,670,0
SLS1058,2026-07-05,STR010,Footwear,17000,850,16150,16000,1445,240,1850,220,2
SLS1059,2026-07-05,STR010,Beauty & Personal Care,13500,405,13095,12500,405,320,2100,810,0
SLS1060,2026-07-05,STR010,Groceries & Gourmet,11000,220,10780,10000,165,430,2900,1200,0
SLS1061,2026-07-12,STR011,Apparel & Fashion,12500,1250,11250,15000,1125,170,1200,160,4
SLS1062,2026-07-12,STR011,Electronics & Tech,19500,1365,18135,21000,2145,100,800,40,7
SLS1063,2026-07-12,STR011,Home & Living,8900,445,8455,9500,401,95,700,250,2
SLS1064,2026-07-12,STR011,Footwear,7800,390,7410,8500,624,110,750,90,5
SLS1065,2026-07-12,STR011,Beauty & Personal Care,6700,201,6499,6500,201,160,980,410,0
SLS1066,2026-07-12,STR011,Groceries & Gourmet,5800,116,5684,5500,87,230,1400,550,0
SLS1067,2026-07-19,STR012,Apparel & Fashion,15000,2250,12750,16000,1200,190,1350,200,3
SLS1068,2026-07-19,STR012,Electronics & Tech,22000,1540,20460,23000,1980,110,900,60,6
SLS1069,2026-07-19,STR012,Home & Living,10200,510,9690,11000,459,115,780,300,1
SLS1070,2026-07-19,STR012,Footwear,9000,450,8550,9500,765,125,850,100,4
SLS1071,2026-07-19,STR012,Beauty & Personal Care,7400,222,7178,7000,222,175,1100,430,0
SLS1072,2026-07-19,STR012,Groceries & Gourmet,6200,124,6076,6000,93,250,1550,580,0
SLS1073,2026-07-26,STR013,Apparel & Fashion,32000,3840,28160,29000,2240,430,2800,490,1
SLS1074,2026-07-26,STR013,Electronics & Tech,49000,3430,45570,46000,4410,245,2200,115,5
SLS1075,2026-07-26,STR013,Home & Living,23000,1150,21850,21000,920,230,1750,690,0
SLS1076,2026-07-26,STR013,Footwear,18500,925,17575,17000,1572,260,1950,230,2
SLS1077,2026-07-26,STR013,Beauty & Personal Care,14500,435,14065,13000,435,340,2200,890,0
SLS1078,2026-07-26,STR013,Groceries & Gourmet,11800,236,11564,10500,177,470,3000,1280,0
SLS1079,2026-07-26,STR014,Apparel & Fashion,29000,3480,25520,27000,2030,390,2600,440,1
SLS1080,2026-07-26,STR014,Electronics & Tech,43000,3010,39990,42000,3870,215,2000,100,6
SLS1081,2026-07-26,STR014,Home & Living,20000,1000,19000,19000,800,200,1500,630,0
SLS1082,2026-07-26,STR014,Footwear,16000,800,15200,15000,1360,225,1750,200,3
SLS1083,2026-07-26,STR014,Beauty & Personal Care,12800,384,12416,12000,384,300,1950,780,0
SLS1084,2026-07-26,STR014,Groceries & Gourmet,10200,204,9996,9500,153,400,2700,1120,0
SLS1085,2026-07-26,STR015,Apparel & Fashion,13800,2070,11730,15000,1104,180,1250,170,4
SLS1086,2026-07-26,STR015,Electronics & Tech,20500,1435,19065,22000,2050,105,850,45,8
SLS1087,2026-07-26,STR015,Home & Living,9400,470,8930,10000,423,105,720,270,2
SLS1088,2026-07-26,STR015,Footwear,8200,410,7790,9000,697,115,800,95,5
SLS1089,2026-07-26,STR015,Beauty & Personal Care,7000,210,6790,6800,210,165,1020,420,0
SLS1090,2026-07-26,STR015,Groceries & Gourmet,5900,118,5782,5600,89,240,1480,560,0
